link,headline
b'https://shop.wegmans.com/shop/categories/87',b'Pears | Wegmans'
b'https://www.heb.com/category/shop/fruit-vegetables/fruit/pears/490082/490340',b'Pears \xe2\x80\x91 Shop H\xe2\x80\x91E\xe2\x80\x91B Everyday Low Prices'
b'https://www.amazon.com/Pears-Transparent-Soap-Bars-4-4/dp/B000HLEZVW',"b'Pears Transparent Soap Bars 4.4 oz, 3 ea : Bath ... - Amazon.com'"
b'https://nutritiondata.self.com/facts/fruits-and-fruit-juices/2005/2',"b'Pears, raw [Includes USDA commodity food A435] Nutrition Facts ...'"
b'https://ucanr.edu/sites/CDPH_PEARS/',b'PEARS for California Local Health Departments - CDPH PEARS'
b'https://www.froghollow.com/products/organic-warren-pears',b'Organic Warren Pears - Frog Hollow Farm'
b'https://www.skinnytaste.com/baked-pears-with-walnuts-and-honey/',b'Baked Pears with Walnuts and Honey - Skinnytaste'
b'https://www.instagram.com/pearstheband/?hl=en',b'PEARS the band (@pearstheband) \xe2\x80\xa2 Instagram photos and videos'
b'https://www.washcoll.edu/live/profiles/1917-pamela-pears',b'Pamela Pears | Washington College'
b'https://www.sprouts.com/home-stories/staple/pears/',b'Pears | Sprouts Farmers Market'
b'https://fatwreck.com/collections/pears',b'PEARS \xe2\x80\x93 Fat Wreck Chords'
b'https://medgroup.pennstatehealth.org/staff/joanne-e-richard-pears-pa-c/',"b'Joanne Pears, PA-C - Penn State Health Medical Group'"
b'https://extension.umd.edu/hgic/topics/pear',b'Pear | University of Maryland Extension'
b'https://www.akc.org/expert-advice/nutrition/can-dogs-eat-pears/',b'Can Dogs Eat Pears? \xe2\x80\x93 American Kennel Club'
b'https://www.vumc.org/resuscitation/14718',b'Vanderbilt Resuscitation Program - PEARS - Pediatric Emergency ...'
b'https://snaped.fns.usda.gov/seasonal-produce-guide/pears',b'Pears | SNAP-Ed'
b'https://www.ams.usda.gov/grades-standards/canned-pears-grades-and-standards',b'Canned Pears Grades and Standards | Agricultural Marketing Service'
b'https://www.agmrc.org/commodities-products/fruits/pears',b'Pears | Agricultural Marketing Resource Center'
b'https://www.samsclub.com/p/d-anjou-pears/165072',"b""D'Anjou Pears (5 lb.) - Sam's Club"""
b'http://ipm.ucanr.edu/PMG/selectnewpest.pears.html',b'Pear Pest Management Guidelines--UC IPM'
b'https://www.nytimes.com/2014/04/01/health/pears-poached-in-red-wine-and-cassis.html',b'Pears Poached in Red Wine and Cassis - The New York Times'
b'https://www.canr.msu.edu/od/planning_evaluation_and_reporting/gaining-access-to-pears',b'Gaining Access to PEARS - Organizational Development'
b'http://treefruit.wsu.edu/web-article/pear-varieties/',b'Varieties \xe2\x80\x93 Pear | WSU Tree Fruit | Washington State University'
b'https://smittenkitchen.com/2009/12/vanilla-roasted-pears/',b'vanilla roasted pears \xe2\x80\x93 smitten kitchen'
b'https://www.hannaford.com/departments/produce/fresh-fruits/pears',b'Pears | Hannaford'
b'https://www.almanac.com/plant/pears',"b""Pears: Planting, Growing, and Harvesting Pears | The Old Farmer's ..."""
b'https://www.eventbrite.com/a/the-red-pears-410002',"b'The Red Pears Shows, Concerts & Tickets 2020 | Eventbrite'"
b'https://www.halegroves.com/blog/when-are-pears-in-season/',b'When are pears in season? | Farm Fresh Fruit Gifts'
b'https://www.bonappetit.com/recipe/sauteed-pears-with-bacon-and-mustard-dressing',b'Saut\xc3\xa9ed Pears with Bacon and Mustard Dressing Recipe | Bon Appetit'
b'https://uccalfresh.ucdavis.edu/pears',b'PEARS | UC CalFresh Nutrition Education'
b'https://www.freshdirect.com/browse.jsp?id=pr',b'Shop for Pears for Fast Delivery | FreshDirect'
b'https://www.ag.ndsu.edu/ext-employees/program-development/pears',b'PEARS (Program Evaluation and Reporting System) \xe2\x80\x94 For ...'
b'https://www.merriam-webster.com/dictionary/pear',b'Pear | Definition of Pear by Merriam-Webster'
b'https://www.theatlantic.com/science/archive/2016/06/battle-of-the-pomes/488687/',b'The Push to Make Pears the New Apples - The Atlantic'
b'https://www.shortstackeditions.com/products/vol-29-pears-by-andrea-slonecker',b'Vol 29: Pears (by Andrea Slonecker) | Short Stack Editions'
b'https://www.medievalists.net/2016/01/the-dangers-of-eating-pears-according-to-alexander-neckam/',"b'The Dangers of Eating Pears, according to Alexander Neckham'"
b'https://www.artic.edu/artworks/64957/grapes-lemons-pears-and-apples',"b'Grapes, Lemons, Pears, and Apples | The Art Institute of Chicago'"
b'https://extension.oregonstate.edu/sites/default/files/documents/8836/sp50678preservingpears.pdf',b'Preserving Pears'
b'https://www.baseball-reference.com/players/p/pearsfr01.shtml',b'Frank Pears Stats | Baseball-Reference.com'
b'https://www.metmuseum.org/art/collection/search/500382',b'Juan Gris | Pears and Grapes on a Table | The Met'
b'https://www.pro-football-reference.com/players/P/PearEr20.htm',b'Erik Pears Stats | Pro-Football-Reference.com'
b'https://superfreshgrowers.com/recipes/savory-bread-pudding-with-organic-apples-pears',b'Savory Bread Pudding with Organic Apples & Pears - Superfresh ...'
b'https://extension.unh.edu/resources/files/Resource000587_Rep609.pdf',b'Growing Fruits: Growing Pears in the Home Orchard'
b'https://metropolitan-market.com/holiday-pear/',b'The Holiday Pear | Metropolitan Market'
b'https://www.producemarketguide.com/produce/pears',b'Pears | Produce Market Guide'
b'https://www.moma.org/collection/works/80394',"b'Pablo Picasso. Woman with Pears. Horta de San Joan, summer 1909'"
b'https://foodprint.org/real-food/pears',b'Real Food Encyclopedia | Pears | FoodPrint'
b'https://www.melissas.com/Butterscotch-Pears-p/1708.htm',b'Butterscotch Pears'
b'https://www.k-state.edu/oeie/pears/',b'PEARS | Technology | Services | Office of Educational Innovation ...'
b'https://www.delmonte.com/products/snacks/fruit-chia/fruit-chiatm-pears-blackberry-flavored-chia',b'Fruit & Chia\xe2\x84\xa2 Pears in Blackberry Flavored Chia | Del Monte Foods ...'
b'http://www.visitsicily.info/en/sicilian-prickly-pears/',b'Sicilian prickly pears | Visit Sicily'
b'https://sallysbakingaddiction.com/simple-maple-vanilla-baked-pears/',"b""Maple Vanilla Baked Pears | Sally's Baking Addiction"""
b'https://www.popsugar.com/fitness/Health-Benefits-Pears-5144004',b'Health Benefits of Pears | POPSUGAR Fitness'
b'https://www.cityofbuchanan.com/more-information/attractions/pears-mill',b'Pears Mill - City of Buchanan'
b'https://www.ralphs.com/pl/pears/0611100670?fulfillment=all',b'Pears in Department - Ralphs'
b'https://shopcpr.heart.org/pears-provider-ecard',b'PEARS Provider eCard'
b'https://www.rwjbh.org/treatment-care/training-center/healthcare-provider-classes/pediatric-emergency-assessment-recognition-and-s/',b'Pediatric Emergency Assessment Recognition and Stabilization ...'
b'https://visitpearland.com/pearscape/',b'Adventure on a Scavenger Hunt with the Pear-Scape Trail in ...'
b'https://cdn-ext.agnet.tamu.edu/wp-content/uploads/2018/12/EHT-023_-Texas-Fruit-and-Nut-Production_-Pears.pdf',b'Texas Fruit and Nut Production'
b'https://www.absolut.com/us/products/absolut-pears/',b'Pear Vodka - Absolut Pears'
b'https://ohioline.osu.edu/factsheet/HYG-5526',"b'Selecting, Storing, and Serving Ohio Pears | Ohioline'"
b'https://fruitsandveggies.org/stories/top-10-ways-to-enjoy-pears/',b'Top 10 Ways to Enjoy Pears - Have A Plant'
b'https://genomebiology.biomedcentral.com/articles/10.1186/s13059-018-1452-y',b'Diversification and independent domestication of Asian and ...'
b'https://www.discovermagazine.com/planet-earth/pears-shaped-like-babies-are-a-hit-in-china',b'Pears Shaped Like Babies Are a Hit In China | Discover Magazine'
b'https://www.happyfamilyorganics.com/shop/baby/clearly-crafted/pears-kale-spinach-puree',"b'Organic Pears, Kale & Spinach Puree Pouches | Shop Happy'"
b'https://www.britannica.com/plant/pear',"b'pear | Description, Uses, & Types | Britannica'"
b'https://www.citylab.com/environment/2019/07/bradford-callery-pear-trees-invasive-species-forests/593044/',"b""Bradford Pears Threaten Forests' Native Species - CityLab"""
